text,stars,date
"Một chi nhánh lâu đời của Jollibee

Không gian Quán bao gồm không gian máy lạnh và bàn ngồi ngoài trời. Quán không …   Thêm",5 sao,3 tuần trước
"đồ ăn ngon, nhân viên nhiệt tình, dễ thương Dịch vụ Ăn tại chỗ…   Thêm",5 sao,2 tuần trước
Nay Jolibee làm rất ẩu. Gà có mùi tanh và còn máu ăn rất kì. Thất vọng thiệt sự Đồ ăn:  1,1 sao,một tuần trước
"Nếu ai lần đầu tiên ăn ở Jolibee thì hãy tải app sẽ được tặng một dĩa mì Ý bò bầm khi hóa đơn 60.000 trở lên.
Vị của Jolibee thì khá phù hợp với người Việt Nam trung bình thì tầm một người một phần ăn cơm hay là burger khoảng tầm 30.000 đến 40.000   Thêm",4 sao,4 tháng trước
"Đồ ăn ngon ,phần ăn vừa đủ mình đi dịp có combo khuyến mãi nên rẻ lắm ,nhân viên dễ thương . Loại hìn…   Thêm",5 sao,2 tuần trước
"Mì ý ở jollibee ngon.
Kem cây chỉ 5k/ cây quá rẻ.
Nhân viên ở đây sẽ đem đồ ăn lại bàn giúp mình sau khi mình oder món tại quầy.
Nhân viên thân thiện, nhanh nhẹn.   Thêm",5 sao,2 tháng trước
"đồ ăn ngon, nhân viên rất nhiệt tình dễ thương Đồ ăn:  5…   Thêm",5 sao,4 tuần trước
"Đồ ăn vừa miệng, nhân viên vui vẻ nhiệt tình , tương đối hài lòng với trải nghiệm trước giờ ở đây. Gi…   Thêm",5 sao,3 tuần trước
Đồ ăn ngon nhanh nhân viên phục vụ dễ thương Loại hình bữa ăn Bữa tối…   Thêm,5 sao,một tháng trước
"Đồ ăn ngon, nhân viên dễ thương Đồ ăn:  5…   Thêm",5 sao,2 tháng trước
"Đã ăn nhiều lần, đồ ăn ngon, phục vụ tốt Loại hình bữa ăn Bữa tối…   Thêm",5 sao,2 tháng trước
"Đồ ăn ngon, nv phục vụ nhiệt tình Đồ ăn:  5…   Thêm",5 sao,2 tháng trước
"Đồ ăn ở đây ngon lắm, nhất là mỳ ý và gà giòn xốt cay. Nhất Jolibee rồi, gà rán số 1 bán chạy tại VN   Thêm",5 sao,một tuần trước
"Đồ ăn ngon, nhân viên nhiệt tình ạ Đồ ăn:  5…   Thêm",5 sao,2 tháng trước
"đồ ăn ngon
nhân viên dễ thương Đồ ăn:  5…   Thêm",5 sao,4 ngày trước
"Chất lượng gà ngon, nhân viên phục vụ lịch sự và niềm nở Loại hình bữa ăn…   Thêm",5 sao,2 tuần trước
"mình cảm thấy đồ ăn vừa miệng, rất thích đi mỗi dịp cuối tuần Đồ ăn:  4…   Thêm",5 sao,2 tháng trước
"đồ ăn ngon,nhân viên tận tình Đồ ăn:  5…   Thêm",5 sao,2 tháng trước
"Đồ ăn ngon, nhân viên nhiệt tình Đồ ăn:  5…   Thêm",5 sao,2 tháng trước
"Quán ăn ngon, nhan viên nhiệt tình dễ thương. Sẽ quay lại thời gian gần Đồ ăn:  5…   Thêm",5 sao,một tháng trước
"Nhân viên nhiệt tình, đồ ăn ngon ạaaa rất đáng thử nhaaa",5 sao,2 tháng trước
"Nhân viên nữ có hình xăm ở bắp tay  trong ảnh thái độ cực kỳ mất dạy, nói chuyện với khách hàng như bố thí, không chủ vị, nói trống không. Cảm giác 1 bữa ăn như vậy như bố thí cho người ăn xin chứ không phải 1 nhà hàng   Thêm",1 sao,4 tháng trước
"Mua gần 30 phần mang về để tổ chức sinh nhật tại trường bé nhà mình theo học.

Đóng gói rất chắc chắn, món gà rán kèm khoai ngon đến nỗi bé nào trong lớp cũng …   Thêm",5 sao,5 tháng trước
"Đồ ăn ngon, nhân viên dễ thương Loại hình bữa ăn Bữa trưa…   Thêm",5 sao,3 tháng trước
ăn Jolibee 10 năm rùi vẫn mê <3 cnhanh này rộng rãi thoáng mát chị nv Bảo Hân dễ thương lắm ạ 😚 chị chạy lên chạy xuống ord cho bàn tụi em mà cảm ơn quài hihi …   Thêm,5 sao,2 tuần trước
"Không gian rộng rãi, sáng sủa, có khu vực ngồi ngoài trời thoải mái. Phục vụ nhanh, dù giờ cao điểm có thể hơi đông nhưng không phải chờ quá lâu. Chú gửi xe dễ thương, dắt xe phụ khách. …   Thêm",5 sao,5 tháng trước
Mình không biết do mua combo nên cho ít sốt hay sao mà 2 phần ăn chỉ cho 1 gói tương cà? Đây cũng không phải lần đầu tiên quán cho ít tương như thế. Cần cải thiện,3 sao,4 tháng trước
"Đồ ăn ngon, phục vụ tốt Loại hình bữa ăn Bữa trưa…   Thêm",5 sao,2 tháng trước
"Mình đi ăn ngay tối đêm giao thừa mà không phụ thu. Gà ngon, giòn, mọng nước. Khoai cũng giòn. Nêm nếm món nào cũng vừa miệng. Phục vụ cũng mau lẹ. Cho quán 5*.   Thêm",5 sao,6 tháng trước
"anh chị ở đây dễ thương vui vẻ hoà đồng ạ, bạn em nó cười hơi vô duyên anh chị thông cảm🥰🥰 … Đồ ăn: …   Thêm",5 sao,2 tháng trước
"Đồ ăn ngon, dịch vụ tốt, nhân viên thân thiện với Khách Dịch vụ Ăn tại c…   Thêm",5 sao,6 tháng trước
"Đồ ăn ngon, nhân viên nhiệt tình. Không gian rộng rãi, thoáng mát. Highly recommend Loại hình bữa ăn…   Thêm",5 sao,2 tháng trước
"Đồ ăn ngon, chất lượng, pv nhiệt tình Đồ ăn:  5…   Thêm",5 sao,2 tuần trước
"Mình gợi ý mọi người ăn mì Ý của Jollibee nha, ngon lắm á. Dịch vụ mình thấy tốt nha Giá mỗi người…   Thêm",5 sao,một tháng trước
