text,stars,date
"Chi nhánh này hơi nhỏ xíu nhưng có 2 tầng(3 lầu) nên có thể chứa được nhiều khách. Nằm ngay mặt bằng ngã ba rất thuận tiện. Phía ngoài có chỗ để xe free rộng rãi, có bảo vệ trông coi và dắt xe, việc của bạn chỉ cần nhận thẻ xe lúc đến và …   Thêm",5 sao,một tháng trước
"Ngon thì có ngon nhưng đông má ơi
Nên né giờ cao điểm vì chỗ ngồi chật hẹp
Quán đông nhưng ra món khá nhanh   Thêm",5 sao,một tháng trước
"Chất lượng và độ ngon thì không có gì vì khá là ngon, hợp khẩu vị của mình. Nhân viên thân thiện, kể cả bảo vệ 👍👍👍
Riêng một chút góp ý là bày trí, sắp xếp bàn ghế ở tầng 1 có vẻ chưa hợp lý nên sẽ thấy chật hẹp, thậm chí có thể va quẹt khi ngồi ăn giữa các bàn …   Thêm",4 sao,2 tháng trước
"nhân viên nhiệt tình, em gọi mấy món mà giống combo quá nên bạn tư vấn đổi sang combo cho lợi giá hơn. …   Thêm",4 sao,3 tháng trước
Phục vụ ở quán rất hoà đồng với khách hàng. Gà ở jollibee thì không cần phải nói nhiều nữa. Tuần 7 bữa mà ăn jollibee hết 5 bữa rồi🥰 …   Thêm,5 sao,một tháng trước
"Quán khá đông đúc vào buổi tối, nhma vẫn có chỗ ngồi, đồ ăn ngon giá phải chăng ai không ăn cay được thì đừng gọi gà sốt cay, món ngon của quán là gà vui vẻ, có thể thêm nước sốt tùy thích   Thêm",4 sao,một tháng trước
"- Không gian rộng, sạch sẽ.
- Combo giá cả hợp lý, anh em nào đi couple thì mình thấy nên gọi combo mỳ ý 145k hoặc 2 combo cơm gà là ổn áp nhất. …   Thêm",5 sao,5 tháng trước
Tại sao ăn quài không ngán vậy nè. Tui có thể ăn Jollibee cả tuần luôn á😝 … Đồ ăn:  5…   Thêm,5 sao,2 tuần trước
"Nhóm mình đặt tiệc sinh nhật ngày 15/3 siêu zui được nhân viên take care siêu chu đáo, chị quản lí siêu cấp dễ thương + bạn Bee siêu xì tin quay đủ loại trend tiktok với tụi mình =))))))))) Không gian phòng tiệc ở tầng trên cùng, cách âm và …   Thêm",5 sao,4 tháng trước
"trung bình mỗi lần hốc đều gọi combo ăn ý, mì và gà tẩm ke nên cứ mỗi tháng lại phải đớp 1 lần 💔 …",5 sao,một tháng trước
"Tại tui ko ăn cay giỏi nên thấy khá cay. Chứ sốt cay nhìn đẹp, ngon mắt á. Nhân viên cx nhiệt tình. Tui thấy bàn bên ý kiến thiếu món, họ cx giải quyết nhanh lẹ. …   Thêm",5 sao,2 tháng trước
"Mì ý và gà rán ngon, giòn
Quán đông nên ko còn chỗ ngồi Đồ ăn:  5…   Thêm",4 sao,6 tháng trước
"Chiều thứ 6, ngày 23/05/2025.

Trời mưa, bảo vệ lớn tuổi vắt kính đen trước ngực (không biết tên) thấy khách …   Thêm",1 sao,2 tháng trước
CHỔ này Giờ Cao điểm nhân viên  Bu Kính hết cả chổ nhận Món... Món Mà  Các nhóc rất là Khoái..mình Ăn Mì  Ý Gà Cay  ..  sốt  Mì Gà  Điều Rất Ok Nha  Có Điều mình ko  hảo lắm  Gà Mỹ  ....    các tính đồ gà  Giòn  Đến Ăn  sợ lên cân thì Oder Gà ko z..chấm sốt kèm khoai Tây là dc.. .. món Chả Giò  Hơi Ngọt  .. ko Thích lắm   Thêm,4 sao,6 tháng trước
"Quán không gian mát mẻ,nhân viên cũng như chú bảo vệ thân thiện,đồ ăn cực nhanh,bạn mình thì khen ngon,nếu ăn combo 1 nam 1 nữ thì  k nên up size nha tại nhiều lắm á,bạn mình ăn đến hoa mắt luôn k hết,trải nghiệm khá ổn, giá ok đối với mình   Thêm",5 sao,11 tháng trước
"Vị trí của quán thuận tiện, nằm ngay giữa ngã tư dễ kiếm
Ở đây khách rất đông, nhưng mà nhân viên vẫn vui vẻ, nhiệt tình hỗ trợ. Không gian sạch sẽ, mát mẻ …   Thêm",4 sao,4 tháng trước
"Đồ ăn ngon, phục vụ nhanh, nhân viên dễ thương :DD Dịch vụ Ăn tại chỗ…   Thêm",5 sao,2 tháng trước
"Mình đến tầm
8h, quán khá đông. Nhưng phục vụ nhanh, mình lựa cũng lâu nhưng các bạn vẫn vui vẻ. Đang ăn thì có em bé kia vào xin mua cho bé 1 phần ăn với.   Thêm",5 sao,một năm trước
"Flow làm việc mượt, sáng hôm qua bên chi nhánh này tung 1400 combo capybara nên đông người đến lắm, điều mình bất ngờ là các anh chị làm việc rất nhanh chóng và chuyên nghiệp, tuy đôi lúc cũng có sai sót khâu mang đồ ra cho khách xíu, nhưng …   Thêm",5 sao,7 tháng trước
"Lâu lắm mới quay lại ăn ở thương hiệu này. Mình khen cho các món gà rán có cải thiện rất nhiều, rất ngon nha, không còn kiểu bột bột như xưa. Về phần mì ý thì không đổi, vẫn còn ngon.  Tụi mình ngồi ăn trong quán, quán cũng khá là đông …   Thêm",5 sao,một năm trước
"Quán sạch sẽ, nhân viên dễ thương, giá vừa tầm chất lượng Dịch vụ Ăn tại…   Thêm",5 sao,một tháng trước
"Có thiệt sự là muốn bán nữa k tiệm , ăn tại chỗ thì nv thái độ, mua qua ap thì đổ tè le là sao d tiệm 😇 …   Thêm",1 sao,2 tháng trước
"Xếp hàng cạnh săn capypara cho cháu, mặc dù rất đông nhưng món ăn lên nhanh, nhân viên thân thiện, nhiệt tình, thấy khách xếp hàng trời nắng ra đứng che dù luôn, thật là dễ thương   Thêm",5 sao,7 tháng trước
"Mình mua 2 phần dặn lấy má đùi, bạn nhân viên bảo sẽ ưu tiên nhưng lúc mang ra lại là ức và cánh. Mình hỏi thì bạn kêu k có chiên má. Mà bàn kế bên mang ra khách kêu lấy má thì đem vào đổi lại còn mình thì bạn k chịu. Cửa hàng nhìn mặc khách để bán hay sao? Ăn rất nhìu lần mà trải nghiệm quá tệ   Thêm",1 sao,9 tháng trước
Tương ớt tương cà ở đây đắt lắm sao. Mua 2 lần mang về lần nào cũng 1 phần 3-4 món mà chỉ cho dc 1 túi tương chua ngọt.   Thêm,2 sao,2 tuần trước
"Nhân viên nhiệt tình dễ thương 🥺
Gà nhà Joli thì không còn gì để chê roài. Giòn ngon ăn cuốn nhe
Lúc mình ghé là buổi tối nên quán đông với nhiều con nít nên hơi ồn xíu …   Thêm",5 sao,8 tháng trước
"Bình thường mình hay ăn chỗ này vì nó gần nhà và các bạn nhân viên rất dễ thương.
Hôm trước, xem tiktok thấy review có combo hè là 2 mì ý + 1 gà dòn + 2 nước và 2 …   Thêm",3 sao,một tháng trước
"Nơi này sạch sẽ, mát, phục vụ nhanh
Đồ ăn ngon
Nhiều options Đồ ăn:  5…   Thêm",5 sao,7 tháng trước
"5 sao khỏi nói nhìu. Mình ăn lần thứ n rồi!! Gà giòn xốt ngon mà bên trong vẫn mọng nước 😫 so juicyyyy. Mì ý ăn ghiền ghiền sao á, khoai ngon. Phục vụ nhanh mà thân thiện nhiệt tình. Không chê vào đâu được. My fav spot in HCMC 🫶🏼 …",5 sao,2 năm trước
