text,stars,date
"Đang có chương trình khuyến mãi 4 miếng gà = 99k nên ghé.
Dạo này KFC không còn nhiều hương vị gà rán như trước nữa, rất thích vị gà sốt siêu cay hồi trước, nhưng giờ không còn. …   Thêm",5 sao,3 tháng trước
"Đầu tiên về đồ ăn, thật sự thất vọng khi quay trở lại ăn tại đây, mình không biết các chi nhanh khác như thế nào nhưng tại chi nhánh này sốt cà chua tự lấy đã bị hư và có mùi, gà thì ăn rất bở (kết quả từ lúc ăn đến khi về nhà khoảng 30-45p …   Thêm",1 sao,4 tháng trước
"Đi làm về đói. Mua tạm ăn cho đỡ nhưng mà ko chấp nhận đc. Đồ ăn dở tệ, vỏ bánh cũ và cứng, ko có sốt, rau dập, cà chua thái lát mà ko thể tả nổi.   Thêm",1 sao,4 tháng trước
"Đồ ăn ngon nhân viên trẻ, dễ thương, nhiệt tình Đồ ăn:  5…   Thêm",5 sao,một tháng trước
"Mấy bạn nhân viên dễ thương, gà kfc thì ngon ùi, thích bánh tart trứng của kfc Đồ ăn:  5…   Thêm",5 sao,một tháng trước
"Gà bên này ngày càng tệ luôn. Gà và mỳ ý ăn bở bùng bục. Ăn chất lượng k còn như ngày xưa nữa.  Thịt gà ăn là biết gà cũ luôn ý. Rất bở mù ý cũng vậy. Vị mỳ ý ko ngon nữa , nhạt nhẽo vô cùng   Thêm",1 sao,5 tháng trước
"Nhân viên và quán có thái độ phân biệt đối xử với anh em sheper nên xin các anh em sheper cân nhắc khi đến nhận đơn ở đây. Trưa trời nắng chang chang, phía trong quán còn chỗ trống không cho sheper để xe mà bắt phải để sát vĩa hè phía ngoài. Ảnh hưởng sức khỏe trĩ đó anh em. Nhân viên còn bảo là khách mới được để ở chỗ mát 🤣 …   Thêm",1 sao,5 tháng trước
"Không gian sạch sẽ, nhân viên vui vẻ nhiệt tình Đồ ăn:  5…   Thêm",5 sao,2 tuần trước
"Chị quản lý rất là tuyệt vời luôn, nhân viên thân thiện dễ thương. Ăn chỗ này nhỏ lớn luôn. Dịch vụ…   Thêm",5 sao,2 tuần trước
"Lúc nào cũng ngon hết, cực kỳ thích gà truyền thống với tương cà của kfc (vị giống tương cà heinz). Bánh tart trứng cũng rất ngon, đi ăn nhiều chỗ rồi vẫn thấy kiểu tart trứng như vậy chưa quán nào làm ngon hơn của kfc 🥺 Quán rộng nên ngồi thoải mái, đồ làm cũng khá nhanh ít phải đợi …   Thêm",5 sao,2 tháng trước
Trải nghiệm tệ vl. Od rõ sớm. Xong ngồi ăn sau cái đứa mới vô. Chờ hơn 20’ chưa tới phần mình. Hối 5-6 lần mới chịu làm. Trog khi 2 người vô sau ngta ăn xong về luôn rồi mình vẫn phải chờ. Quá tệ   Thêm,1 sao,3 tháng trước
