text,stars,date
"Sau nhiều năm, tôi quay lại KFC Ngô Gia Tự để tìm lại hương vị tuổi thơ gắn liền với những miếng gà rán giòn rụm ngày xưa. Lần trở lại này mang đến cho tôi nhiều cảm xúc đan xen – từ bất ngờ đến hoài niệm, và cả một chút thất vọng. …   Thêm",3 sao,một tháng trước
"Tất cả OK , ngoại trừ nhiều trẻ em quá rất ồn ào, làm bầu ko khí đi ăn như nhà trẻ z chạy nhảy giỡn tùm lum. Hi vọng quán sẽ chia khu vực trẻ em ngăn riêng 1 bên, chứ để chạy nhảy giỡn qua bàn khác rất phiền. Ko phải mình ko thích trẻ em …   Thêm",4 sao,4 tuần trước
"Mình oder máy oder ghi chú chọn rõ 4 miếng gà cay, nhận món xé ra thì thấy ko đúng, nhờ nhân viên phục vụ bê xuống check với Quản Lý quầy thì bạn đó khẳng định là gà cay nhưng khi mình ăn vào thì KHÔNG HỀ CAY, KHÔNG CÓ DẤU HAY MÀU BỘT ỚT …   Thêm",1 sao,2 tháng trước
"Nhân viên nhiệt tình, gà ngon, trên cả tiệt dờiiii 🎉🎉 … Đồ ăn:  5…   Thêm",5 sao,một tuần trước
"Bảo vệ ko giữ xe, bật karaoke vừa hát vừa hút thuốc, khỏi thuốc hôi rình, hát hò ầm ĩ. …   Thêm",1 sao,3 tháng trước
"Không gian cửa hàng thoáng mát, sạch sẽ
Đồ ăn nóng giòn, hợp khẩu vị
Nhân viên tiếp đón nhiệt tình, vui vẻ   Thêm",5 sao,4 tháng trước
"Gà truyền thống vừa bở rẹp vừa ngấm dầu. Mình góp ý thì nhân viên và quản lý đều nói gà truyền thống là như vậy, chiên trong nồi áp suất nên nó sẽ mềm không được giòn. Ok chấp nhận gà mềm, ko giòn. Nhưng chẳng lẽ gà truyền thống là gà mềm, ko giòn, bở rẹp và ngấm dầu hả ta???   Thêm",1 sao,5 tháng trước
"Mình ăn ở đây vài lần, nhân viên niềm nở nhiệt tình nha, KFC thì là mối ruột từ hồi còn ở quê rồi nên không phải bàn, hôm đó đi cũng đông nma ra món nhanh, chỗ ngồi lại cũng sạch sẽ, rất rcm nha   Thêm",5 sao,4 tháng trước
Ở đây rất ngon tui ăn rồi dịch vụ tốt 10 đỉm Đồ ăn:  5…   Thêm,5 sao,4 tuần trước
"Nhân viên thân thiện, hỗ trợ nhiệt tình ạ. Đồ ăn:  4…   Thêm",5 sao,một tháng trước
"Nhân viên nhiệt tình, đồ ăn ngon Đồ ăn:  5…   Thêm",5 sao,một tháng trước
Đồ ăn ngon nhân viên chu đáo Dịch vụ Ăn tại chỗ…   Thêm,5 sao,một tháng trước
"Các bạn nhân viên oder tôi rất thân thiện, sữa gạo rang thơm béo hạt sen bùi như highland vị ngon nha, khách quen ở đây nên các bạn bít tôi thích ăn má đùi   Thêm",5 sao,9 tháng trước
"chi nhanh mình vui vẻ , tận tuỵ với khách hàng Đồ ăn:  5…   Thêm",5 sao,một tháng trước
"Có anh trai hỗ trợ rất dễ thương và nhiệt tình, nice! Đồ ăn:  5…   Thêm",5 sao,một tháng trước
"Gà ngon , Nhân viên vui vẻ Đồ ăn:  5…   Thêm",5 sao,một tháng trước
Phục vụ nhanh-Đồ ăn ngon-Giá hợp lý Đồ ăn:  5…   Thêm,5 sao,một tháng trước
Gà ngon hỗ trợ tui oder nhóm tui oder nhiều mà bận vẫn chu đáo Dịch vụ Ă…   Thêm,5 sao,một tháng trước
"Một chi nhánh của KFC tại Ngô Gia Tự. Mình đã ghé chi nhánh này nhiều lần, chất lượng gà rán ở đây luôn ổn định, luôn nóng và giòn. Chi nhánh này có view nhìn thẳng ra bùng binh khá đẹp. …   Thêm",5 sao,9 tháng trước
nhân viên hỗ trợ nhiệt tình và tận tâm. Dịch vụ Ăn tại chỗ…   Thêm,5 sao,một tháng trước
Cảm ơn các bạn đã CHO mình 1 bửa ăn.chứ không phải mình đến bỏ tiền ra để sự dụng dịch vụ tại quán.và chính các bạn đã đánh mất 1 khách hàng cực kỳ thân thiết của KFC.từ bạn nữ nhân viên đến bạn quản lý.mình chỉ góp ý kiến miếng gà trông …   Thêm,1 sao,10 tháng trước
"Wifi bảo trì mấy năm vẫn chưa xong kiểu như không muốn cho khách xài nên cứ để vậy, buôn bán thì khó khăn, ăn cơm xin nước sốt khoai thì kêu tính tiền mặc dù các chỗ khác vẫn cho bình thường !!!   Thêm",1 sao,4 tháng trước
Ăn lúc nào cũng ngon Đồ ăn:  5 Dịch vụ: …   Thêm,5 sao,3 tuần trước
"trải nghiệm rất tốt, các bạn nhân viên hỗ trợ nhiệt tình Đồ ăn:  5…   Thêm",5 sao,một tháng trước
"Hôm nay ghé trải nghiệm vẫn như 1 năm trước, làm ngành dịch vụ mới thấy thương các bạn, tận tâm với khách hàng, ở mấy chổ khác tự mang lên nhưng ở đây dù có 1 nhân viên vẫn mang phần ăn lên cho từng khách rất chu đáo quan sát khách hàng, có …   Thêm",5 sao,3 tháng trước
"Nhân viên dễ thương, phục vụ nhiệt tình Đồ ăn:  5…   Thêm",5 sao,một tháng trước
"Đồ ăn ngon, phục vụ
nhanh gọn lẹ Đồ ăn:  5…   Thêm",5 sao,3 tuần trước
"Ko so sánh ko đau lòng, đợi hơn 30p, phần của mn thì múp ụp, rất đầy đủ, tới mik thì nhìn CHÁN. Chia 2 hộp cho màu mè, chớ gà để 1 hộp còn dư. Đợi mãi ko có gà, phải chạy đi hỏi mà ko chỉ mik còn thêm 2 3 ng khách vs shipper. Có ko gian …   Thêm",1 sao,3 tháng trước
Chất lượng phục vụ oki. Nhân vien nhiệt tình Đồ ăn:  5…   Thêm,5 sao,4 tuần trước
Wifi không sử dụng được khuyến mãi không giải thích cho khách hàng hiểu thái độ nhân viên kém Dịch vụ…   Thêm,1 sao,một tuần trước
"Tôi thường xuyên ghé đến tiệm ăn nhanh này và được trải nghiệm một không khí vui vẻ sạch sẽ thân thiện, đồ ăn ở đây rất ngon, nhân viên lễ phép nhiệt tình và rất dễ thương. Tôi sẽ ghé đây thường xuyên hơn nữa để ủng hộ các bạn và để được …   Thêm",5 sao,8 tháng trước
"Có 3 máy order lỗi 2 máy, khách phải chờ rất lâu. Khách  thản nhiên mang chó vào cửa hàng thả chạy lung tung mất vệ sinh và an toàn.
Biết trước là sẽ có máy nhảy ra trả lời tự động bla bla...rồi điền from...chán   Thêm",3 sao,Thời gian chỉnh sửa: 4 tháng trước
"Nhân viên nhiệt tình dễ thương và làm việc rất nhanh nhẹn với khách hàng, ra món rất nhanh và còn tận tình chu đáo, lúc nào cũng cười tươi mặc dù khách đông   Thêm",5 sao,3 tháng trước
"dịch vụ tốt, đồ ăn ngon Đồ ăn:  5 Dịch vụ: …   Thêm",5 sao,một tháng trước
gà ngon nhân viên nhiệt tình Đồ ăn:  5…   Thêm,5 sao,một tháng trước
Các bạn dễ thương quâ xá Đồ ăn:  5 Dịch vụ: …   Thêm,5 sao,một tháng trước
"Ga ngon, nhan vien de thuong nhiet tinh Dịch vụ Ăn tại chỗ…   Thêm",5 sao,3 tuần trước
4 miếng gà nhưng toàn ức Đồ ăn:  1 Dịch vụ: …   Thêm,1 sao,một tháng trước
Các bạn rất nhiệt tình khi đt tôi k dc hỗ trợ camara  các bạn dùng đt mignh để tích điểm dùm lun. Dịc…   Thêm,5 sao,một tháng trước
"hqua có ưu đãi 99k 4 miếng gà nên e đã tới cửa hàng mua vì e thấy ưu đãi hời. đến quán khi e bấm máy oder thì chỉ thấy có 4 khách đang đợi món. em oder phần 99k 1 bugrer tôm, 2 kem socola, 2 nước coca lớn, 1 phần mỳ ý gà viên. em oder xong …   Thêm",2 sao,3 tháng trước
Tai xe be  vào đọc mã đơn  ko ai in phiếu  và ko thèm  tra ai lại cho tại xe dạ con in bill  ko cách nhấn vien lam ko co trách nhiệm   Thêm,1 sao,một tháng trước
"uán nằm ngay vòng xoay nên cũng dễ thấy.
Không gian mát mẻ, nhân viên dễ thương.
Phiếu giữ xe siêu có tâm với dòng chữ ""chúc quý khách ngon miệng"" <3
Gà rán ngon, bột giòn, gà không bị khô. Cay nhẹ nhàng.",5 sao,5 năm trước
"Đồ ăn ngon, giá khá cao. Thuong hiệu phổ biến nên cũng k khác các chi nhánh khác.
View mấy bàn gần đường đẹp, nằm ở căn góc nhìn ra đường khá chill. Nhưng không …   Thêm",5 sao,10 tháng trước
"Nhân viên nhiệt tình, dễ thương lắm nè. Đồ ăn và dịch vụ tốt 🫶🏻🫶🏻🎉 … Đồ ăn:  5…   Thêm",5 sao,7 tháng trước
"Đặt nhiều v mà quán k cho nỗi 1 bịch tương , hư luôn buổi ăn , hơi thất vọng Đồ ăn:  2…   Thêm",1 sao,4 tuần trước
"Có nhiều combo hấp dẫn, giá cả rất hợp lý
Không gian thoáng mát, nằm ngay trung tâm tiện đi lại
Tôi mua gà rán điều lựa chọn ghé đây, đáng mua nha mọi người   Thêm",5 sao,9 tháng trước
