text,stars,date
"Dưới đây là đánh giá chi tiết về McDonald’s Đa Kao (địa chỉ: 2-6 Bis Điện Biên Phủ, phường Đa Kao, Quận 1, TP.HCM): …   Thêm",5 sao,một tháng trước
"Món ngon sạch sẽ đa dạng không gian mở & kín, rộng rãi thoáng mát. Tuy nhiên toilet ở dưới sảnh cần dọn dẹp sạch sẽ và xử lý mùi hôi.   Thêm",5 sao,3 tháng trước
"Phù hợp làm điểm dừng chân nhanh, đồ ăn chờ tầm 10p vị trí trung tâm dễ tìm đến Loại hình bữa ăn…   Thêm",5 sao,2 tuần trước
"Giá cả, hương vị phù hợp với người Việt. Không gian rộng rãi thoáng mát. Nhưng về dịch vụ thì quá tệ, bàn ghế còn vụn thức ăn, nước lấm lem trên bàn, không một nhân viên nào ra lau bàn hay take care kvkh. Khi lấy xe bảo vệ hỏi có giữ hoá …   Thêm",1 sao,một tháng trước
"Mỗi khi thèm burger trong đầu toai chỉ nhớ mỗi McDonalds. Thích nhứt vò có sốt mayonnaise nữa. Điểm cộng là khôgn gian thoáng mát, đến có nhiều chỗ chụp hình không chỉ mỗi ảo mà còn đẹp. Rất phù hợp làm tiệc cho các bé, vì tui lớn mà còn mê huống chi các babe.   Thêm",5 sao,một tháng trước
"Tôi đợi gần 30 phút, sau đó phải tự ra quầy nhắc thêm lần nữa mới ra món. Nhận món mà rất shock vì rất sơ sài, qua loa.
Vd, burger trong menu có rau, mà thật ra chỉ có miếng bò nằm trơ trọi. Cái đùi …   Thêm",2 sao,4 tháng trước
McDonald là nhà hàng duy nhất cung cấp mua hàng trên xe làm mình ấn tượng quanh khu vực Q1 & Phú Nhuận & Bình Thạnh so với các quán khác. Một vài đánh giá về quán: …   Thêm,4 sao,5 tháng trước
"Vị trí đắc địa nên view ở đây thì không phải bàn rồi. Quán tự phục vụ nhưng vẫn có nhân viên lau dọn bàn cho khách nên mình thấy okela. Gà chiên hơi khô, mình thích tương ớt vs tương cà ở đây, chấm đồ chiên rất hợp. Nước với kem thì khá …   Thêm",4 sao,5 tháng trước
"Rộng, thức ăn ngon kiểu Mỹ phục vụ ok, không có gì phàn nàn, nhà vệ sinh lầu một nên vệ sinh tốt hơn   Thêm",5 sao,2 tháng trước
"Cũng cũng đi =)))) Vì drive thru nên khá tiện, rất chuẩn đồ ăn nhanh. Mình ghé 8h tối mà đông nghẹt.   Thêm",3 sao,2 tuần trước
