text,stars,date
Trưa nay thèm Mc nên ra ăn. Ăn phần combo 69k. Gà ngon và không cần đợi lâu. Ngạc nhiên là ở đây có thêm nhiều loại tương chấm ăn kèm với gà hoặc khoai tây (bên Úc không có tương chấm ăn kem hoặc nếu muốn thì phải mua riêng). Khu vực ăn rộng rãi và có khu vực ban công phía ngoài dành cho ai thích ngồi ngoài trời.   Thêm,5 sao,2 tháng trước
"Có chỗ đậu xe
Quán đông khách lắm nha
Trên lầu hơi nóng, không có quạt mà máy lạnh kh mát miếng nào D…   Thêm",5 sao,một tháng trước
"Burger gà cay ngon, gà nóng giòn, chế biến nhanh gọn ^^

Nhân viên siêu thân thiện, dễ thương, nhiệt tình ♥️   Thêm",5 sao,một tháng trước
"Vệ sinh cần được lau dọn sạch sẽ.  Hai máy điều hòa, một máy chưa được sửa chữa mặc dù đã phản ánh nhiều lần, máy còn lại hoạt động yếu, không đủ lạnh.  Khách hàng cảm thấy khó chịu vì nóng bức trong quá trình dùng bữa.
🫱 Đề nghị khắc phục ngay hai vấn đề trên. …   Thêm",4 sao,4 tháng trước
"Món ăn nóng, ngon.
Thức uống hợp khẩu vị. …   Thêm",4 sao,một tháng trước
"Nhân viên thân thiện và nhiệt tình. Gà ổn, có miếng ức của mình chiên bị quá lửa và quá lâu nên bị khô. Nhà vệ sinh tệ. Không có chỗ gửi xe máy, mình phải chạy lên kia gửi tốn 20k ( đi buổi tối ). Chỗ ngồi khá nóng vì máy lạnh yếu.",3 sao,7 tháng trước
"Hay mua kem oreo vani ở đây. Mà tâm linh lắm nha, bữa ngọt mún tiểu đường, bữa thì ngọt vừa ăn dính lắm. Hên xui kkk đc cái bạn nhân viên nam LGBT dễ thương nhanh nhẹn   Thêm",5 sao,một tuần trước
"Vị trí trung tâm
Có không gian ngồi ở tầng hai
Nhân viên phục vụ nhanh và nhiệt tình Dịch vụ…   Thêm",5 sao,3 tháng trước
"Ở đây đồ ăn ngon thấy mấy bạn nhân viên trẻ trung dễ thương, đặc biệt bạn Minh Thư siêu nhiệt tình và dễ thương nhé. Thiết nghĩ quản lý cửa hàng MCDONALD'S nên trao danh hiệu nhân viên tốt nhất tuần cho bạn ❤️‍🔥 …   Thêm",5 sao,7 tháng trước
Đồ ăn ok..nhân viên ok... nằm ở phố đi bộ nguyễn huệ nên rất nhộn nhịp Dịch vụ…   Thêm,4 sao,4 tháng trước
