text,stars,date
Lần đầu mình dùng bữa sáng tại đây order xong chỉ mất 4p là lên món các bạn nhân viên support nhiệt tình nhanh nhẹn tốt nên ghé nhé các bạn   Thêm,5 sao,một tháng trước
"Đồ ăn không cần phải ý kiến nhiều, vẫn chuẩn thương hiệu McDonald's 🥰
Chỗ ngồi rộng, mát do nằm trong khuôn viên Vincom Thảo Điền, vị trí thuận lợi do nằm ngay bến MRT Metro An Phú 😍 …   Thêm",5 sao,3 tháng trước
"Nhà hàng có vị trí nằm ngay trong Vincom Thảo Điền, ở ngay dưới chân ga An Phú nên rất dễ tìm. Không gian bên trong nhà hàng cũng khá rộng rãi và sạch sẽ. Ở đây thì mọi người sẽ chủ yếu là tự phục vụ từ việc đặt đồ ăn cho đến nhận đồ ăn tại …   Thêm",4 sao,5 tháng trước
"Quán McDonald nằm tại tầng trệt của trung tâm thương mại Vincom Mega Mall Thảo Điền, tại đây có 4 máy kiosk cho khách tự order món ăn, tự thanh toán hoặc thanh toán tại quầy. Đồ ăn ở đây khá ngon, hợp khẩu vị. Lúc nào cũng đông khách vào …   Thêm",5 sao,một tháng trước
"Chỗ ngồi rộng thoải mái, đồ ăn ra nhanh. Mình thích đồ đựng đồ ăn tại chỗ, khá tiện và dễ vệ sinh. Dị…   Thêm",5 sao,một tháng trước
"Mua combo 2 người, nhân viên mang ra ko nói năng gì hết đến khi tôi hỏi đủ đồ chưa thì mới trả lời
Phần ăn 2 người chỉ cho 1 cái khay đựng thức ăn, tôi mới hỏi cho thêm 1 cái thì …   Thêm",1 sao,một tuần trước
"Không hảo đồ ăn nhanh, nhưng burger hay khoai tây chiên đồ ở đây luôn ổn định, view Metro thoáng xịn; mà mì Ý thì chưa được ưng ý!   Thêm",5 sao,3 tuần trước
"Tiệm McDonald nằm trong khu trung tâm thương mại Vincom Megamall, sát với ga Metro An Phú nên khá thuận tiện di chuyển. Bên trong không gjan khá rộng, nhân viên phục vụ nhanh nhẹn. Chất lượng đồ ăn của Mc Donald thì khỏi bàn.",5 sao,6 tháng trước
Vị trí rất thuận lợi ngay bến metro cho mọi người có thể di chuyển ăn uống và tham quan Đồ ăn: …   Thêm,4 sao,3 tháng trước
"Dịch vụ tệ hại:
Nhân viên:
Chậm chạp, lớn tiếng, đồng phục dơ, không quan tâm khách hàng. …   Thêm",1 sao,2 tháng trước
Có ai làm nhân viên mà đưa cái đĩa đựng sốt cho khách mà đưa kiểu ném ko? Đưa tận tay cho khách dễ mà khách cũng đang đứng ngay đó vậy mà để lên bàn rồi búng qua cho khách thiệt ko hiểu nổi mc donald nên train lại CS của staff mình đi   Thêm,1 sao,2 tháng trước
"Không gian thoáng mát, đồ ăn ngon miệng, nhân viên phục vụ tận tình. Đặc biệt là đang có ưu đãi nhận quà á mọi người   Thêm",5 sao,8 tháng trước
"Mình đến đây lần thứ 3 và mình hơi thất vọng…gà thì không có giòn lắm, còn nhỏ nữa 😞 mình đến lúc 9h45 và nghe nói là 11h đóng cửa nhưng cảm giác thật sự không thoải mái lắm khi xung quanh nhân viên đang chuẩn bị đóng cửa luôn, làm mình cảm …   Thêm",3 sao,11 tháng trước
"Nhân viên làm xong đồ ăn từ 13:30 , đặt dịch vụ giao thế nào mà khách 14:00 mới nhận được đồ ăn. Trong khi Mc Vincom qua Masteri vài bước chân. Đồ ăn nguội hết, khoai tây chiên mềm hết. Dịch vụ quá tệ.   Thêm",1 sao,6 tháng trước
Mình ăn a mất nồi ở đây rất là nhiều lần rồi thì. Bước vào à trung tâm thương mại vincom mega mo sảnh a mệt mấy tô đồ rất là sạch sẽ không gian rộng ở đây có khách tây ăn rất là nhiều. Từ nhân viên phục vụ cho tới bảng demo điện tử để dùng …   Thêm,5 sao,một năm trước
"Phục vụ nhanh, chuyên nghiệp. Gà thì cơ bản chỗ nào cũng giống nhau nhưng gà đây làm ngon, ẩm không bị quá khô. Chỗ ngồi nhiều.
Nhược điểm bậc thềm lên hơi cao.   Thêm",5 sao,7 tháng trước
"Các bạn phục vụ rất tốt, anh rất hài lòng. Caffe ngon tới mức tôi đã uống hết trước khi Checkin Đồ ăn: …   Thêm",5 sao,7 tháng trước
